"CampaignId","Advertiser","Id","Brand"
2,"Amazon.com",79414,"Absentia"
2,"Amazon.com",61372,"All or Nothing"
2,"Amazon.com",48611,"Alpha House"
2,"Amazon.com",87024,"Amazon Advertising"
2,"Amazon.com",83669,"Amazon Affiliates"
2,"Amazon.com",44362,"Amazon App"
2,"Amazon.com",59467,"Amazon Assistant"
2,"Amazon.com",57807,"Amazon Basics"
2,"Amazon.com",44083,"Amazon Business"
2,"Amazon.com",68274,"Amazon Channels"
2,"Amazon.com",73804,"Amazon Charts"
2,"Amazon.com",72969,"Amazon Coins"
2,"Amazon.com",44015,"Amazon Echo"
2,"Amazon.com",35769,"Amazon Family"
2,"Amazon.com",47450,"Amazon Fashion"
2,"Amazon.com",61296,"Amazon Flex"
2,"Amazon.com",47546,"Amazon Fresh"
2,"Amazon.com",86014,"Amazon Furniture"
2,"Amazon.com",41420,"Amazon Game Studios"
2,"Amazon.com",47864,"Amazon Launchpad"
2,"Amazon.com",47446,"Amazon Local"
2,"Amazon.com",47447,"Amazon Mom"
2,"Amazon.com",59468,"Amazon Money & Markets"
2,"Amazon.com",32189,"Amazon Music"
2,"Amazon.com",44072,"Amazon Payments"
2,"Amazon.com",46115,"Amazon Prime"
2,"Amazon.com",43994,"Amazon Prime Day"
2,"Amazon.com",56719,"Amazon Prime Now"
2,"Amazon.com",69566,"Amazon Prints"
2,"Amazon.com",9,"Amazon Publishing"
2,"Amazon.com",73628,"Amazon Rapids"
2,"Amazon.com",48612,"Amazon Smile"
2,"Amazon.com",11,"Amazon Student"
2,"Amazon.com",12,"Amazon Studios (all shows)"
2,"Amazon.com",56951,"Amazon Tap"
2,"Amazon.com",13,"Amazon Web Services"
2,"Amazon.com",72779,"American Playboy"
2,"Amazon.com",47452,"Annedroids"
2,"Amazon.com",15,"Audible"
2,"Amazon.com",50316,"Baby"
2,"Amazon.com",40938,"Betas"
2,"Amazon.com",36280,"Bosch (tv)"
2,"Amazon.com",79413,"Britannia"
2,"Amazon.com",47292,"BuyVIP"
2,"Amazon.com",87123,"Carnival Row"
2,"Amazon.com",42925,"Catastrophe"
2,"Amazon.com",42574,"Cloud Drive"
2,"Amazon.com",63789,"ComiXology"
2,"Amazon.com",75581,"Comrade Detective"
2,"Amazon.com",68499,"Corporate"
2,"Amazon.com",40939,"Creative Galaxy"
2,"Amazon.com",18,"Credit Cards"
2,"Amazon.com",67000,"Crisis in Six Scenes"
2,"Amazon.com",47455,"Cyber Monday"
2,"Amazon.com",49362,"Downloadables & Appstore"
2,"Amazon.com",19,"DPReview Gearshop"
2,"Amazon.com",66539,"East Dane"
2,"Amazon.com",79087,"Electric Dreams"
2,"Amazon.com",32990,"Fire HD"
2,"Amazon.com",20,"Fire Phone"
2,"Amazon.com",21,"Fire TV"
2,"Amazon.com",66433,"Fleabag"
2,"Amazon.com",39949,"For Developers"
2,"Amazon.com",82928,"Forever"
2,"Amazon.com",87830,"Free Meek"
2,"Amazon.com",80415,"FreeTime"
2,"Amazon.com",22,"Gift Cards"
2,"Amazon.com",23,"Gifts"
2,"Amazon.com",67559,"Goliath"
2,"Amazon.com",67969,"Good Girls Revolt"
2,"Amazon.com",86233,"Good Omens"
2,"Amazon.com",35333,"Gortimer Gibbon's Life on Normal Street"
2,"Amazon.com",45527,"Hand of God"
2,"Amazon.com",69024,"Handmade"
2,"Amazon.com",84693,"Hanna (tv)"
2,"Amazon.com",42500,"Home Services"
2,"Amazon.com",83483,"Homecoming"
2,"Amazon.com",89095,"Hunters (2020)"
2,"Amazon.com",73529,"I Love Dick (tv)"
2,"Amazon.com",54539,"IMDB"
2,"Amazon.com",84541,"IMDB TV"
2,"Amazon.com",83815,"Inside Jokes"
2,"Amazon.com",77551,"Jack Ryan (tv)"
2,"Amazon.com",74442,"James & Erin"
2,"Amazon.com",78641,"Jean-Claude Van Johnson"
2,"Amazon.com",25,"Jobs"
2,"Amazon.com",52801,"Just Add Magic"
2,"Amazon.com",89077,"Key"
2,"Amazon.com",26,"Kindle"
2,"Amazon.com",83851,"Kung Fu Panda (tv)"
2,"Amazon.com",71767,"Lark & Ro"
2,"Amazon.com",74347,"LeMans"
2,"Amazon.com",74100,"Long Strange Trip"
2,"Amazon.com",77356,"Lore"
2,"Amazon.com",85184,"Lorena"
2,"Amazon.com",27,"LOVEFiLM"
2,"Amazon.com",52800,"Mad Dogs"
2,"Amazon.com",86376,"Made in Heaven"
2,"Amazon.com",89886,"Making the Cut"
2,"Amazon.com",10,"Marketplace, Storefronts & Fulfillment"
2,"Amazon.com",52395,"Merch by Amazon"
2,"Amazon.com",88217,"Modern Love"
2,"Amazon.com",34890,"Mozart in the Jungle"
2,"Amazon.com",28,"MP3 Store"
2,"Amazon.com",29,"MyHabit"
2,"Amazon.com",54860,"No-Tag"
2,"Amazon.com",62573,"One Mississippi"
2,"Amazon.com",71525,"Patriot"
2,"Amazon.com",67001,"Pet Shop"
2,"Amazon.com",24,"Prime Video"
2,"Amazon.com",50792,"Red Oaks"
2,"Amazon.com",30,"Rx Lenses"
2,"Amazon.com",31,"Shop Amazon"
2,"Amazon.com",60852,"ShopBop"
2,"Amazon.com",70249,"Sneaky Pete"
2,"Amazon.com",55347,"Style Code"
2,"Amazon.com",32,"Subscribe & Save"
2,"Amazon.com",89887,"Tales from the Loop"
2,"Amazon.com",56728,"Tax Central"
2,"Amazon.com",89565,"Ted Bundy: Falling for a Killer"
2,"Amazon.com",68276,"The Bay"
2,"Amazon.com",84844,"The Boys"
2,"Amazon.com",80073,"The Dangerous Book for Boys"
2,"Amazon.com",89076,"The Expanse"
2,"Amazon.com",54655,"The Fashion Fund"
2,"Amazon.com",59260,"The Grand Tour"
2,"Amazon.com",74963,"The Last Tycoon"
2,"Amazon.com",45850,"The Man in the High Castle"
2,"Amazon.com",78461,"The Marvelous Mrs. Maisel"
2,"Amazon.com",54644,"The New Yorker Presents"
2,"Amazon.com",83392,"The Romanoffs"
2,"Amazon.com",69184,"The Tick"
2,"Amazon.com",84797,"The Widow"
2,"Amazon.com",81942,"Thinkbox Software"
2,"Amazon.com",85873,"This Giant Beast That is the Global Economy"
2,"Amazon.com",87754,"This is Football"
2,"Amazon.com",58046,"Thunderbirds Are Go"
2,"Amazon.com",47453,"Trade-In"
2,"Amazon.com",33,"Transparent"
2,"Amazon.com",75452,"Treasure Truck"
2,"Amazon.com",34,"Tumble Leaf"
2,"Amazon.com",48265,"Underground"
2,"Amazon.com",88203,"Undone"
2,"Amazon.com",90207,"Upload"
2,"Amazon.com",70108,"Vehicles"
2,"Amazon.com",39985,"Wedding Registry"
2,"Amazon.com",49172,"Wishenpoof"
2,"Amazon.com",75451,"Woot!"
2,"Amazon.com",72107,"You Are Wanted"
2,"Amazon.com",70607,"Z: The Beginning of Everything"
8,"AT&T",35,"4G & 5G Networks"
8,"AT&T",36,"Accessories"
8,"AT&T",37,"AdWorks"
8,"AT&T",38,"AiO Wireless"
8,"AT&T",39,"Alerts"
8,"AT&T",62193,"All B2B Non-Wireless Solutions"
8,"AT&T",58309,"All B2B Wireless Solutions"
8,"AT&T",50772,"All Consumer In-Home Services"
8,"AT&T",50765,"All Consumer Wireless Services"
8,"AT&T",54,"All Data Plans"
8,"AT&T",41,"Android Promos"
8,"AT&T",68596,"AT&T and DirecTV Services Combined"
8,"AT&T",32390,"AT&T Aspire"
8,"AT&T",87004,"AT&T Call Protect"
8,"AT&T",90940,"AT&T Cybersecurity"
8,"AT&T",43,"AT&T Insider"
8,"AT&T",88213,"AT&T TV"
8,"AT&T",45,"AT&T Unite"
8,"AT&T",91366,"Aveda"
8,"AT&T",47,"BlackBerry Promos"
8,"AT&T",48,"Business Circle"
8,"AT&T",50,"Cloud Services"
8,"AT&T",51,"Corporate"
8,"AT&T",55073,"Cybersecurity"
8,"AT&T",52,"Developer Program"
8,"AT&T",53,"Digital Life"
8,"AT&T",63795,"Fiber"
8,"AT&T",81496,"Fiber for Business"
8,"AT&T",82317,"FirstNet"
8,"AT&T",62204,"Fleet Management"
8,"AT&T",56,"GoPhone & Prepaids"
8,"AT&T",34807,"Hotspots"
8,"AT&T",57,"HTC Promos"
8,"AT&T",62224,"IP Networking"
8,"AT&T",58,"iPhone Promos"
8,"AT&T",59,"It Can Wait Campaign"
8,"AT&T",60,"Jobs"
8,"AT&T",61,"LG Promos"
8,"AT&T",62209,"Mobility Services"
8,"AT&T",62,"Motorola Promos"
8,"AT&T",62227,"Network Suite"
8,"AT&T",62222,"Networking Exchange Blog"
8,"AT&T",64,"Nokia Promos"
8,"AT&T",65,"No-Tag"
8,"AT&T",62228,"Office Phones"
8,"AT&T",32391,"Passport"
8,"AT&T",67,"Phone Promos (General)"
8,"AT&T",70,"Refurbished Phones"
8,"AT&T",71,"Samsung Promos"
8,"AT&T",56929,"Security Services"
8,"AT&T",59193,"Stores/Shop Online"
8,"AT&T",75,"Toggle"
8,"AT&T",76,"U-verse & High Speed Internet for Consumer"
8,"AT&T",59006,"U-verse and HSI for Business"
8,"AT&T",62218,"U-Verse Communities"
8,"AT&T",62223,"VPNs"
